,c_inst_name_code,c_inst_code,c_inst_code_new,c_new_new_code
306,178,11,1,306
307,178,92,2,307
308,179,404,1,308
309,180,296,1,309
310,181,5,1,310
311,182,431,1,311
312,182,433,2,312
313,182,448,3,313
314,182,138686,4,314
315,182,138687,5,315
316,182,138688,6,316
317,182,138689,7,317
318,182,138690,8,318
319,182,138691,9,319
320,182,138692,10,320
321,182,138693,11,321
322,182,138694,12,322
323,182,138695,13,323
324,182,138696,14,324
325,182,138697,15,325
326,182,138698,16,326
327,182,138699,17,327
328,182,138700,18,328
329,182,138701,19,329
330,182,138702,20,330
331,182,138703,21,331
332,182,138704,22,332
333,182,138705,23,333
334,182,138706,24,334
335,182,138707,25,335
336,182,139386,26,336
337,182,139502,27,337
338,182,139548,28,338
339,182,139889,29,339
340,182,139948,30,340
341,182,139972,31,341
342,182,140025,32,342
343,182,140093,33,343
344,182,140141,34,344
345,182,140155,35,345
346,182,140214,36,346
347,182,140238,37,347
348,182,140262,38,348
349,182,140508,39,349
350,183,22,1,350
351,184,126,1,351
352,185,74,1,352
353,186,97,1,353
354,187,197,1,354
355,188,198,1,355
356,189,468,1,356
357,189,138886,2,357
358,190,201,1,358
359,191,83,1,359
360,191,96,2,360
361,191,127,3,361
362,191,139,4,362
363,192,202,1,363
364,193,469,1,364
365,194,263,1,365
366,194,264,2,366
367,195,338,1,367
368,195,140017,2,368
369,196,440,1,369
370,197,107,1,370
371,198,121,1,371
372,199,200,1,372
373,200,199,1,373
374,201,203,1,374
375,202,62,1,375
376,203,374,1,376
377,203,139622,2,377
378,204,46,1,378
379,205,410,1,379
380,206,204,1,380
381,207,411,1,381
382,207,139355,2,382
383,207,139525,3,383
384,207,139659,4,384
385,207,140228,5,385
386,207,140382,6,386
387,208,129,1,387
388,209,205,1,388
389,210,405,1,389
390,210,139360,2,390
391,210,139361,3,391
392,210,139362,4,392
393,210,139363,5,393
394,210,139364,6,394
395,210,139365,7,395
396,210,139366,8,396
397,210,139367,9,397
398,210,139368,10,398
399,210,139369,11,399
400,210,139370,12,400
401,210,139371,13,401
402,210,139372,14,402
403,210,139373,15,403
404,210,139374,16,404
405,210,139375,17,405
406,210,139561,18,406
407,210,139773,19,407
408,210,140519,20,408
409,211,470,1,409
410,212,132,1,410
411,213,425,1,411
412,214,282,1,412
413,214,139346,2,413
414,214,139347,3,414
415,214,139348,4,415
416,214,139349,5,416
417,214,139350,6,417
418,214,139351,7,418
419,214,139352,8,419
420,214,139353,9,420
421,214,139354,10,421
422,214,139790,11,422
423,214,139838,12,423
424,214,139912,13,424
425,214,139913,14,425
426,214,140165,15,426
427,214,140237,16,427
428,215,206,1,428
429,216,208,1,429
430,217,207,1,430
431,218,12,1,431
432,218,81,2,432
433,219,339,1,433
434,219,140082,2,434
435,220,137,1,435
436,221,40,1,436
437,222,209,1,437
438,223,43,1,438
439,224,210,1,439
440,225,6,1,440
441,226,211,1,441
442,227,86,1,442
443,228,471,1,443
444,229,273,1,444
445,230,25,1,445
446,231,49,1,446
447,232,136,1,447
448,233,56,1,448
449,234,406,1,449
450,235,450,1,450
451,235,138339,2,451
452,236,212,1,452
453,237,104,1,453
454,237,213,2,454
455,238,59,1,455
456,238,214,2,456
457,239,28,1,457
458,239,215,2,458
459,240,10,1,459
460,240,216,2,460
461,241,66,1,461
462,242,371,1,462
463,242,438,2,463
464,242,472,3,464
465,242,139185,4,465
466,242,139520,5,466
467,242,139563,6,467
468,242,139620,7,468
469,242,139654,8,469
470,242,139966,9,470
471,242,140515,10,471
472,243,217,1,472
473,244,149,1,473
474,245,44,1,474
475,246,321,1,475
476,246,139090,2,476
