index,c_office_id,c_office_type_id,c_office_tree_id,c_office_type_type_code,c_office_l1,c_office_l2,c_office_l3,c_office_l4,c_office_l5
130,220,011040101,1503020101,0,0,0,0,0,0
131,221,011040101,1503020101,0,0,0,0,0,0
132,222,011040101,1503020101,0,0,0,0,0,0
133,223,011090203,15070203,0,0,0,0,0,0
134,224,011090305,15070305,0,0,0,0,0,0
135,225,011040800,15030208,0,0,0,0,0,0
136,226,011090305,15070305,0,0,0,0,0,0
137,227,011040600,15030206,0,0,0,0,0,0
138,228,011040600,15030206,0,0,0,0,0,0
139,229,011040600,15030206,0,0,0,0,0,0
140,230,011040600,15030206,0,0,0,0,0,0
141,231,011040800,15030208,0,0,0,0,0,0
142,232,011040400,15030204,0,0,0,0,0,0
143,233,9999,1599,0,0,0,0,0,0
144,234,9999,1599,0,0,0,0,0,0
145,235,011090305,15070305,0,0,0,0,0,0
146,235,011090402,15070402,0,0,0,0,0,0
147,236,011090305,15070305,0,0,0,0,0,0
148,236,011090403,15070403,0,0,0,0,0,0
149,237,011090305,15070305,0,0,0,0,0,0
150,237,011090403,15070403,0,0,0,0,0,0
151,240,011050100,150401,0,0,0,0,0,0
152,241,011040305,1503020305,0,0,0,0,0,0
153,242,9999,1599,0,0,0,0,0,0
154,243,011040101,1503020101,0,0,0,0,0,0
155,244,011040714,1503020714,0,0,0,0,0,0
156,245,011040714,1503020714,0,0,0,0,0,0
157,247,9999,1599,0,0,0,0,0,0
158,248,9999,1599,0,0,0,0,0,0
159,252,011030500,15030105,0,0,0,0,0,0
160,253,011070200,15060102,0,0,0,0,0,0
161,254,011031200,15030112,0,0,0,0,0,0
162,256,011070200,15060102,0,0,0,0,0,0
163,257,011070200,15060102,0,0,0,0,0,0
164,259,011090301,15070301,0,0,0,0,0,0
165,261,011100200,150802,0,0,0,0,0,0
166,262,9999,1599,0,0,0,0,0,0
167,263,011040101,1503020101,0,0,0,0,0,0
168,265,011090201,15070201,0,0,0,0,0,0
169,266,011090201,15070201,0,0,0,0,0,0
170,267,011090201,15070201,0,0,0,0,0,0
171,268,011090201,15070201,0,0,0,0,0,0
172,269,011090201,15070201,0,0,0,0,0,0
173,270,011090201,15070201,0,0,0,0,0,0
174,271,011090201,15070201,0,0,0,0,0,0
175,272,011090201,15070201,0,0,0,0,0,0
176,273,011090201,15070201,0,0,0,0,0,0
177,274,011090101,15070101,0,0,0,0,0,0
178,275,9999,1599,0,0,0,0,0,0
179,277,9999,1599,0,0,0,0,0,0
180,278,011010400,150104,0,0,0,0,0,0
181,280,9999,1599,0,0,0,0,0,0
182,282,9999,1599,0,0,0,0,0,0
183,283,011050200,150402,0,0,0,0,0,0
184,284,9999,1599,0,0,0,0,0,0
185,285,011050400,150404,0,0,0,0,0,0
186,285,011090303,15070303,0,0,0,0,0,0
187,286,011050400,150404,0,0,0,0,0,0
188,286,011090303,15070303,0,0,0,0,0,0
189,287,011050400,150404,0,0,0,0,0,0
190,288,011050400,150404,0,0,0,0,0,0
191,289,011090305,15070305,0,0,0,0,0,0
192,291,9999,1599,0,0,0,0,0,0
193,292,9999,1599,0,0,0,0,0,0
194,293,011090304,15070304,0,0,0,0,0,0
195,294,011090304,15070304,0,0,0,0,0,0
196,295,011040306,1503020306,0,0,0,0,0,0
197,297,9999,1599,0,0,0,0,0,0
198,298,011110100,150901,0,0,0,0,0,0
199,299,011110100,150901,0,0,0,0,0,0
200,302,011110100,150901,0,0,0,0,0,0
201,303,011110100,150901,0,0,0,0,0,0
202,305,011110100,150901,0,0,0,0,0,0
203,306,011110100,150901,0,0,0,0,0,0
204,307,011110100,150901,0,0,0,0,0,0
205,309,011110100,150901,0,0,0,0,0,0
206,310,011110100,150901,0,0,0,0,0,0
207,311,011110100,150901,0,0,0,0,0,0
208,312,011110100,150901,0,0,0,0,0,0
209,314,011110100,150901,0,0,0,0,0,0
210,315,011110100,150901,0,0,0,0,0,0
211,316,011110100,150901,0,0,0,0,0,0
212,317,011110100,150901,0,0,0,0,0,0
213,318,011110100,150901,0,0,0,0,0,0
214,319,011110100,150901,0,0,0,0,0,0
215,320,011110100,150901,0,0,0,0,0,0
216,321,011110100,150901,0,0,0,0,0,0
217,323,011110100,150901,0,0,0,0,0,0
218,325,011110100,150901,0,0,0,0,0,0
219,326,9999,1599,0,0,0,0,0,0
220,327,9999,1599,0,0,0,0,0,0
221,328,011040303,1503020303,0,0,0,0,0,0
