index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
197,113343,37,69,20,,,,,,,,,9599.0,14298,,元代釋圓護113343居雲南蒼山寺,,,,,180.0
198,113347,148,254,20,,,,,,,,,9599.0,14302,,元代釋照鑑113347居惠山寺,,,,,181.0
199,113350,357,787,20,,,,,,,,,9599.0,14305,,元代釋道恢113350居杭州上竺興福寺,,,,,182.0
200,113350,375,816,20,,,,,,,,,9599.0,14305,,元代釋道恢113350居松江延慶寺,,,,,183.0
201,113352,326,690,20,,,,,,,,,9599.0,14307,,元代釋道高113352居海鹽之天寧寺,,,,,184.0
202,113353,384,833,20,,,,,,,,,9599.0,14308,,元代釋道望113353居崑山永懷報德寺,,,,,185.0
203,113354,419,891,20,,,,,,,,,9599.0,14309,,元代釋道勤113354居智者寺,,,,,186.0
204,113355,354,781,20,,,,,,,,,9599.0,14310,,元代釋道暉113355居福州西禪寺,,,,,187.0
205,113358,158,270,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9599.0,14313,,元代釋壽寧113358居上海靜安寺; Temple ID 139310 Location: 上海縣滬瀆上; Other: 旧重丹寺，宋大中祥符中今名,,,,,188.0
206,113363,415,880,20,,,,,,,,,9599.0,14318,,元代釋福報113363居四明智門寺,,,,,190.0
207,113366,326,688,20,,,,,,,,,9599.0,14321,,元代釋福演113366居彰德路天寧寺,,,,,191.0
208,113366,417,888,20,,,,,,,,,9599.0,14321,,元代釋福演113366居上都至元寺,,,,,192.0
209,113368,85,155,20,,,,,,,,,9599.0,14323,,元代釋與恭113368居吳郡定惠寺,,,,,193.0
210,113368,179,308,20,,,,,,,,,9599.0,14323,,元代釋與恭113368居餘姚九功寺,,,,,194.0
211,113370,424,904,20,,,,,,,,,9599.0,14325,,元代釋輔良113370居嘉興資聖寺,,,,,195.0
212,113373,168,294,20,,,,,,,,,9599.0,14328,,元代釋廣恩113373居臨清淨土寺,,,,,196.0
213,113373,182,313,20,,,,,,,,,9599.0,14328,,元代釋廣恩113373居居邢州開元 寺,,,,,197.0
214,113374,175,302,20,,,,,,,,,9599.0,14329,,元代釋廣裕113374居翼城金仙寺; Location: 翼城縣東門外澮水; Founding: 宋代; Other: Temple ID 139261 元延祐中移至同颖坊; Temple ID 139261 Location: 翼城縣東門外澮水; Founding: 宋代; Other: 元延祐中移至同颖坊,,,,,198.0
215,113377,162,275,20,,,,,,,,,9599.0,14332,,元代釋廣鑄113377居當陽景德寺,,,,,199.0
216,113378,121,202,20,,,,,,,,,9599.0,14333,,元代釋德昻113378居義烏廣愛寺,,,,,200.0
217,113379,414,879,20,,,,,,,,,9599.0,14334,,元代釋德林113379居上海柘澤寺,,,,,201.0
218,113384,47,84,20,,,,,,,,,9599.0,14339,,元代釋德謙113384居大都崇恩寺,,,,,202.0
219,113387,290,620,20,,,,,,,,,9599.0,14342,,元代釋德馨113387居伏龍山聖壽寺,,,,,203.0
220,113389,391,840,20,,,,,,,,,9599.0,14344,,元代釋慧日113389居海寧圓覺寺,,,,,204.0
221,113390,165,287,20,,,,,,,,,9599.0,14345,,元代釋慧定113390居淨 居寺,,,,,205.0
222,113391,145,240,20,,,,,,,,,9599.0,14346,,元代釋慧明113391居大同華嚴寺,,,,,206.0
223,113393,402,862,20,,,,,,,,,9599.0,14348,,元代釋慧珍113393居當陽玉泉山寺,,,,,207.0
224,113395,321,680,20,,,,,,,,,9599.0,14350,,元代釋慧朗113395居杭州天華寺,,,,,208.0
225,113397,27,56,20,,,,,,,,,9599.0,14352,,元代釋慧曇113397居集慶保寧寺,,,,,209.0
226,113399,149,256,20,,,,,,,,,9599.0,14354,,元代釋盤谷113399居杭州慧因寺,,,,,210.0
227,113400,235,450,20,,,,,,,,,9599.0,14355,,元代釋曇塤113400居嘉定南禪寺,,,,,211.0
228,113407,62,123,20,,,,,,,,,9599.0,14362,,元代釋餘澤113407居吳之大弘教寺,,,,,212.0
229,113410,64,125,20,,,,,,,,,9599.0,14365,,元代釋膽巴113410居大護國仁王寺,,,,,213.0
230,113411,177,305,20,,,,,,,,,9599.0,14366,,元代釋懷信113411居金陵集慶寺,,,,,214.0
231,113411,323,684,20,,,,,,,,,9599.0,14366,,元代釋懷信113411居中天竺之天曆永祚寺,,,,,215.0
232,113412,11,12,20,,,,,,,,,9599.0,14367,,元代釋懷則113412居天台白蓮寺,,,,,216.0
233,113417,251,483,20,,,,,,,,,9599.0,14372,,元代釋寶嚴113417居玉山普安寺,,,,,217.0
234,113418,425,909,20,,,,,,,,,9599.0,14373,,元代釋繼聰113418居臨川資壽寺,,,,,218.0
235,113419,409,869,20,,,,,,,,,9599.0,14374,,元代釋覺岸113419居松江余山昭慶寺,,,,,219.0
236,113420,303,652,20,,,,,,,,,9599.0,14375,,元代釋覺明113420居奉元路壽光寺,,,,,220.0
237,113422,194,366,20,,,,,,,,,9599.0,14377,,元代釋覺達113422居長清縣靈巖寺,,,,,221.0
238,113424,28,58,20,,,,,,,,,9599.0,14379,,元代釋覺慧113424居寶寧寺,,,,,222.0
239,113424,75,136,20,,,,,,,,,9599.0,14379,,元代釋覺慧113424居大天界寺,,,,,223.0
240,113425,48,86,20,,,,,,,,,9599.0,14380,,元代釋顯示113425居崇恩演福教寺,,,,,224.0
241,113425,211,409,20,,,,,,,,,9599.0,14380,,元代釋顯示113425居隆壽教寺,,,,,225.0
242,113425,352,779,20,,,,,,,,,9599.0,14380,,元代釋顯示113425居雷峯顯嚴教寺,,,,,226.0
243,113430,229,444,20,,,,,,,,,9599.0,14385,,元代釋舍藍藍113430居居大都妙善 寺,,,,,227.0
244,113432,265,590,20,,,,,,,,,9599.0,14387,,元代釋達益巴113432居大都慶壽寺,,,,,228.0
245,113434,288,616,20,,,,,,,,,9599.0,14389,,元代釋公歌藏卜113434居杭州聖安寺,,,,,229.0
246,113438,122,203,20,,,,,,,,,9599.0,14393,,元代釋必蘭納識里113438居大都廣寒院,,,,,230.0
247,113503,319,678,20,,,,,,,,,9599.0,14465,,元代酈希誠113503居居燕城天寶 宮,,,,,231.0
248,125273,428,3364,11,,,,,,,,,57941.0,lgid=1160532,,,陶恒,20211020,,,
249,125273,2512,3892,11,,,,,,,,,57941.0,lgid=1160532,,,陶恒,20211020,,,
250,125281,428,3364,11,,,,,,,,,57941.0,lgid=1160532,,,陶恒,20211020,陶恒,20211020,
251,125281,2512,3892,11,,,,,,,,,57941.0,lgid=1160532,,,陶恒,20211020,,,
252,128376,428,3364,11,,,,,,,,,57941.0,lgid=1160531,,,陶恒,20211020,陶恒,20211020,
253,130089,13,0,19,,,,,,,,,2066.0,lgid=1197264,,構洗堂於東湖聚徒講學聘主白鹿洞書院,李铮,20210615,,,
254,130089,90,0,11,,,,,,,,,2066.0,lgid=1197264,,,李铮,20210615,,,
255,133727,13,0,19,,,,,,,,,2066.0,lgid=1197236,,歸主白鹿洞生徒數百人皆知王門之學,李铮,20210519,,,
256,200035,12,0,10,1474.0,647.0,,,,,,,2066.0,lgid=1197196,,,李铮,20210421,,,
257,207457,13,0,11,,,,,,,,,2066.0,lgid=1197275,,紫陽白鹿洞諸社皆臨以講席,李铮,20210625,,,
258,207457,428,0,11,,,,,,,,,2066.0,lgid=1197275,,紫陽白鹿洞諸社皆臨以講席,李铮,20210625,,,
259,354916,428,3364,11,,,,,,,,,57941.0,lgid=1160556-1160557,,另據康熙《徽州府志》：“汪德元汪知默江恆軰聚紫陽書院講學”。,陶恒,20211014,,,
260,386554,233,448,19,,18.0,,,,,,,,,,出處：全元文，第30冊 P386-389。,load,20170419,,,232.0
261,386683,117,198,19,,,,,,,,,,,,全元文第55冊 page: 629,load,20170829,,,233.0
262,437597,1867,3696,19,,,,,,,,,,,,全元文第55冊 page: 615,load,20170829,,,234.0
263,438255,1625,0,0,,,,,,,,,2066.0,lgid=1197282,,歸隱西山香城寺潛心理學攜一僕與居尋遺與僧共晨夕而已山居十餘年而卒,李铮,20210630,,,
264,513018,0,0,6,,,,,,,,,39470.0,lgid=1104913,,,李睿诗,20210310,,,
265,513072,90,0,10,,,,,,,,,2066.0,Igid=1197190,,元末教授東湖宗濂兩書院,李铮,20210326,,,
266,513072,431,0,10,,,,,,,,,2066.0,Igid=1197190,,元末教授東湖宗濂兩書院,李铮,20210326,,,
267,513292,13,0,10,,,,,,,,,2066.0,lgid=1197226,,,李铮,20210511,,,
268,531043,2175,0,19,,,,,,,,,2066.0,lgid=1197290,,陸之祺蔡懋德皆請主澹臺祠,李铮,20210707,,,
269,550521,13,15,12,,,,,,,,,2066.0,Igid=1197341,,讀書白鹿洞,李铮,20210807,,,
270,550541,13,15,19,,,,,,,,,2066.0,Igid=1197346,,聘主白鹿洞,李铮,20210812,,,
271,550777,428,3364,11,,,,,,,,,57941.0,1160536,,,陶恒,20211020,,,
272,550777,2512,3892,11,,,,,,,,,57941.0,1160536,,,陶恒,20211020,,,
273,550899,0,0,15,,,,,,,,,6243.0,lgid=878660,,《南陽府志》：邑中有訟不得平者應麟詣縣代申其寃遷宜陽教諭士民䥴德教碑頌之,冯合昕,20211106,冯合昕,20211106,
274,551148,2518,3899,15,,,,,,,,,6243.0,lgid=878661,,《南陽府志》：以艱難解任去後二年邑人追思德政爲䥴石於壽樟寺祀名宦,冯合昕,20211105,冯合昕,20211106,
275,551198,428,3364,11,,,,,,,,,57941.0,lgid=1160557,,,陶恒,20211014,,,
276,551213,428,3364,14,,,,,,,,,57941.0,lgid=1160557,,從祀紫陽書院程朱闕里,陶恒,20211017,陶恒,20211017,
277,551213,2513,3893,14,,,,,,,,,57941.0,lgid=1160557,,,陶恒,20211020,,,
278,551214,428,3364,11,,,,,,,,,57941.0,lgid=1160558,,,陶恒,20211017,,,
279,551214,428,3364,14,,,,,,,,,57941.0,lgid=1160558,,,陶恒,20211017,,,
280,551214,2513,3893,14,,,,,,,,,57941.0,lgid=1160558,,,陶恒,20211020,,,
281,551222,428,3364,11,,,,,,,,,57941.0,lgid=1160558,,,陶恒,20211018,,,
282,551222,2512,3892,11,,,,,,,,,57941.0,lgid=1160558,,,陶恒,20211020,,,
283,551258,2514,3894,18,1691.0,660.0,30.0,,,,,,57941.0,lgid=1160559,,,陶恒,20211102,,,
284,551297,1736,2807,19,,,,,,,,,57951.0,lgid=1045707,,,高铭渲,20211029,,,
285,551355,2514,3894,18,,,,,,,,,57941.0,lgid=1160560,,,陶恒,20211104,,,
286,551355,2514,3895,18,,,,,,,,,57941.0,lgid=1160560,,,陶恒,20211105,,,
287,551355,2515,3896,14,,,,,,,,,57941.0,lgid=1160560,,,陶恒,20211105,,,
288,551355,2516,3897,14,,,,,,,,,57941.0,lgid=1160560,,,陶恒,20211105,,,
289,551489,2515,3900,14,,,,,,,,,57941.0,lgid=1160565,,,陶恒,20211120,,,
290,555408,0,0,15,,650.0,,,,,,,6243.0,lgid=878698,,,冯合昕,20211212,冯合昕,20211212,
291,555418,708,1292,11,,,,,,,,,6243.0,lgid=878699,,,冯合昕,20211212,,,
292,555418,1626,2647,11,,,,,,,,,6243.0,lgid=878699,,,冯合昕,20211212,,,
