index,c_personid,c_inst_name_code,c_inst_code,c_bi_role_code,c_bi_begin_year,c_bi_by_nh_code,c_bi_by_nh_year,c_bi_by_range,c_bi_end_year,c_bi_ey_nh_code,c_bi_ey_nh_year,c_bi_ey_range,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date,tts_sysno
41,110437,114,195,20,,,,,,,,,9599.0,11123,,元代趙110437居後居甘州山寺,,,,,24.0
42,113031,47,85,20,,,,,,,,,9599.0,13970,,元代釋定113031居崇恩寺,,,,,25.0
43,113031,155,265,20,,,,,,,,,9599.0,13970,,元代釋定113031居中慶路覺照寺,,,,,26.0
44,113032,361,800,20,,,,,,,,,9599.0,13971,,元代釋宜113032居天台佛隴山修禪寺,,,,,27.0
45,113033,118,199,20,,,,,,,,,9599.0,13972,,元代釋尚113033居杭州高麗寺,,,,,28.0
46,113035,162,277,20,,,,,,,,,9599.0,13975,,元代釋茂113035居天童之景德寺,,,,,29.0
47,113035,264,524,20,,,,,,,,,9599.0,13975,,元代釋茂113035居明州瑞雲山清涼寺,,,,,30.0
48,113037,63,124,20,,,,,,,,,9599.0,13977,,元代釋益113037居大洪濟寺,,,,,31.0
49,113038,395,854,20,,,,,,,,,9599.0,13978,,元代釋益113038居奉化岳林寺,,,,,32.0
50,113054,254,503,20,,,,,,,,,9599.0,13994,,元代釋了性113054居五臺山普寧寺,,,,,33.0
51,113056,153,262,20,,,,,,,,,9599.0,13996,,元代釋了萬113056居永嘉江心寺; Temple ID 139562 Location: 永嘉縣孤嶼山; Founding: 唐咸通中,,,,,34.0
52,113058,75,137,20,,,,,,,,,9599.0,13998,,元代釋力金113058居南京大天界寺,,,,,35.0
53,113058,278,605,20,,,,,,,,,9599.0,13998,,元代釋力金113058居瑞光寺; Temple ID 139051 Location: 吳縣盤六內; Founding: 吴赤鸟中，性康; Other: 初名普济院，宋代今名康熙四十二年乾隆二十七年巡幸,,,,,36.0
54,113058,326,689,20,,,,,,,,,9599.0,13998,,元代釋力金113058居嘉興天寧寺,,,,,37.0
55,113059,281,609,20,,,,,,,,,9599.0,13999,,元代釋于慶113059居元氏縣三聖院,,,,,38.0
