,tts_sysno,c_textid,c_personid,c_role_id,c_year,c_nh_code,c_nh_year,c_range_code,c_source,c_pages,c_secondary_source_author,c_notes,c_created_by,c_created_date,c_modified_by,c_modified_date
64,437.0,2310,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
65,441.0,2314,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
66,443.0,2316,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
67,448.0,2321,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
68,449.0,2322,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
69,450.0,2323,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
70,452.0,2325,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
71,453.0,2326,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
72,454.0,2327,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
73,456.0,2329,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
74,457.0,2330,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
75,458.0,2331,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
76,459.0,2332,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
77,460.0,2333,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
78,461.0,2334,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
79,463.0,2336,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
80,468.0,2341,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
81,469.0,2342,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
82,470.0,2343,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
83,471.0,2344,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
84,472.0,2345,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
85,474.0,2347,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
86,475.0,2348,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
87,476.0,2349,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
88,477.0,2350,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
89,478.0,2351,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
90,479.0,2352,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
91,480.0,2353,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
92,481.0,2354,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
93,482.0,2355,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
94,483.0,2356,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
95,485.0,2358,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
96,486.0,2359,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
97,488.0,2361,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
98,489.0,2362,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
99,490.0,2363,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
100,491.0,2364,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
101,492.0,2365,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
102,493.0,2366,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
103,494.0,2367,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
104,496.0,2369,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
105,497.0,2370,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
106,499.0,2372,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
107,502.0,2375,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
108,5.0,2382,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
109,6.0,2383,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
110,18.0,2395,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
111,20.0,2397,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
112,21.0,2398,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
113,23.0,2400,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
114,24.0,2401,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
115,25.0,2402,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
116,26.0,2403,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
117,28.0,2405,0,0,-1.0,0.0,-1.0,0.0,,0000000,,,TTS,20070312,,
