	汉字	字频	累计字频
255	运	2180943	1322392942
256	给	2180796	1324573738
257	少	2173792	1326747530
258	总	2171174	1328918704
259	技	2163740	1331082444
260	台	2163484	1333245928
261	结	2157446	1335403374
262	调	2136478	1337539852
263	型	2132737	1339672589
264	房	2131184	1341803773
265	色	2129550	1343933323
266	口	2128018	1346061341
267	城	2104708	1348166049
268	今	2102825	1350268874
269	由	2099486	1352368360
270	西	2092069	1354460429
271	号	2087255	1356547684
272	标	2084936	1358632620
273	各	2072131	1360704751
274	易	2068411	1362773162
275	专	2054509	1364827671
276	项	2054087	1366881758
277	术	2051811	1368933569
278	选	2048732	1370982301
279	近	2046289	1373028590
280	件	2044107	1375072697
281	放	2026339	1377099036
282	影	2022876	1379121912
283	科	2020517	1381142429
284	使	2019333	1383161762
285	直	2018973	1385180735
286	任	2012201	1387192936
287	南	2011713	1389204649
288	头	2009409	1391214058
289	息	1999395	1393213453
290	指	1991039	1395204492
291	统	1989349	1397193841
292	户	1983654	1399177495
293	达	1972256	1401149751
294	流	1963608	1403113359
295	北	1958228	1405071587
296	质	1952886	1407024473
297	整	1950280	1408974753
298	求	1947435	1410922188
299	认	1926732	1412848920
300	微	1919033	1414767953
301	周	1905870	1416673823
302	先	1901932	1418575755
303	立	1901064	1420476819
304	孩	1898900	1422375719
305	导	1897330	1424273049
306	级	1879969	1426153018
307	带	1877152	1428030170
308	造	1874007	1429904177
309	布	1852950	1431757127
310	值	1852032	1433609159
311	完	1846417	1435455576
312	球	1843368	1437298944
313	告	1842223	1439141167
314	十	1835197	1440976364
315	师	1828924	1442805288
316	推	1826476	1444631764
317	该	1824955	1446456719
318	山	1824880	1448281599
319	院	1809229	1450090828
320	再	1808721	1451899549
321	转	1800758	1453700307
322	空	1799889	1455500196
323	真	1791715	1457291911
324	传	1781679	1459073590
325	营	1775388	1460848978
326	把	1756972	1462605950
327	视	1752021	1464357971
328	容	1747781	1466105752
329	游	1746268	1467852020
330	话	1744012	1469596032
331	她	1737962	1471333994
332	款	1736025	1473070019
333	非	1729389	1474799408
334	华	1715403	1476514811
335	消	1712003	1478226814
336	社	1709550	1479936364
337	较	1709243	1481645607
338	组	1701169	1483346776
339	改	1695955	1485042731
340	具	1695709	1486738440
341	源	1685798	1488424238
342	广	1673487	1490097725
343	准	1656706	1491754431
344	集	1647909	1493402340
345	爱	1640509	1495042849
346	油	1640060	1496682909
347	未	1632871	1498315780
348	续	1627107	1499942887
349	世	1625979	1501568866
350	议	1625289	1503194155
351	友	1616045	1504810200
352	队	1608623	1506418823
353	取	1605182	1508024005
354	配	1604760	1509628765
355	效	1602627	1511231392
356	才	1600615	1512832007
357	医	1599842	1514431849
358	节	1598049	1516029898
359	供	1597406	1517627304
360	育	1596600	1519223904
361	试	1595134	1520819038
362	低	1591035	1522410073
