,id,title,directors,casts,rate
9283,2978305,耶路撒冷,拉尔夫·齐曼,"罗伯特·霍布斯,Nicky Rebelo",7.6
9284,25934361,晚安妈咪,"赛佛林·费奥拉,维罗妮卡·弗兰茨","伊莱亚斯·施瓦兹,苏珊娜·伍艾斯特,Lukas Schwarz,迈克尔·安德,露丝·罗伊维丽克",6.4
9285,26996783,大嫂,阚家伟,"徐冬冬,张锦程,伍允龙,黎彼得,黄文慧",3.5
9286,25687245,诉讼,"罗内特·艾尔卡贝兹,施洛米·艾尔卡贝兹","罗内特·艾尔卡贝兹,西蒙·阿布卡瑞安,梅纳什·诺伊,塞森·加布埃",8.3
9287,21937449,高跟鞋,张镇,"车胜元,吴政世,李絮,安吉江,金应洙",6.8
9288,30194404,第55届金马奖颁奖典礼‎,,"陶晶莹,李安,巩俐,谢盈萱,周迅",6.1
9289,3555237,分手专家,胡学林,"阿曼达·克鲁,瑞恩·肯尼迪,莫妮卡·德兰,阿里·利伯特,赛琳达·斯万",5.8
9290,1309012,勇往直前,法提赫·阿金,"波热尔·尤内尔,古文.凯拉齐,萨拉·简·麦肯齐,卡特琳·施特里贝克,西贝尔·凯基莉",8.1
9291,26352361,宝贝当家,张敏,"王诗龄,吴镇宇,杨千嬅,詹瑞文,元秋",2.8
9292,1303573,山椒大夫,沟口健二,"田中绢代,香川京子,菅井一郎,毛利菊枝,伊达三郎",8.1
9293,4901698,某科学的超电磁炮OVA：御坂学姐现在是焦点人物,长井龙雪,"佐藤利奈,新井里美,丰崎爱生,伊藤加奈惠,植田佳奈",8.2
9294,2132912,指间的重量,潘志远,"萧淑慎,张洋洋,吴中天,蔡振南,Brady Cook",6.8
9295,34976971,法医追凶,"Anas Khan,Akhil Paul","托维诺·托马斯,玛玛塔·莫汉达斯",6.7
9296,1292908,家宴,托马斯·温特伯格,"乌尔里奇·汤姆森,赫宁·莫里岑,托玛斯·博·拉森,帕普丽卡·斯汀,碧尔特·诺伊曼",8.3
9297,1309181,超完美夺分,布莱恩·罗宾斯,"斯嘉丽·约翰逊,克里斯·埃文斯,埃丽卡·克里斯滕森,达柳斯·迈尔斯,Dan Zukovic",6.2
9298,1293229,证人,彼得·威尔,"哈里森·福特,凯莉·麦吉利斯,约瑟夫·索默,卢卡斯·哈斯,扬·鲁布斯",7.2
9299,1308079,四人餐桌,李受妍,"全智贤,朴信阳,李錫俊,姜姬花,柳善",5.6
9300,6791706,洋芋片,中村义洋,"滨田岳,木村文乃,大森南朋,石田惠理,中林大树",7.6
9301,1299231,女友礼拜五,霍华德·霍克斯,"加里·格兰特,罗莎琳德·拉塞尔,拉尔夫·贝拉米,吉恩·洛克哈特,波特·霍尔",7.8
9302,3168672,古墓迷途,"安德烈·马柳柯夫,基里尔·贝列维奇","安德烈·捷连季耶夫,德米特里·沃尔科斯特洛夫,弗拉基米尔·雅格雷奇,丹尼拉·科兹洛夫斯基,叶卡特琳娜·克里莫娃",7.2
9303,30257991,六欲天,祖峰,"祖峰,黄璐,陈明昊,田雨,刘天池",5.8
9304,10829828,双腿生风,"Carine Tardieu ,Christopher Tardieu","阿涅丝·夏薇依,维吉尔·勒克莱尔,伊莎贝拉·罗西里尼,朱迪思·马格里,艾尔莎·勒普瓦夫尔",8.2
9305,1997938,科学小怪蛋,安东尼·莱昂迪斯,"约翰·库萨克,史蒂夫·布西密,莫莉·香侬,约翰·克立斯,西恩·海耶斯",6.7
9306,27603669,为你写诗,吴克群,"吴克群,周依然,周键铭,苏士为,仇佩佩",3.8
9307,3022862,世界是平的,约翰·杰夫考特,"阿西夫·巴斯拉,阿耶莎·达尔克,约什·汉密尔顿,阿见·马瑟,柯坦·梅赫塔",7.2
9308,5347114,再见，我的王后,伯努瓦·雅克,"蕾雅·赛杜,黛安·克鲁格,维吉妮·拉朵嫣,诺埃米·洛夫斯基,泽维尔·布瓦",6.2
9309,25731805,宁静咖啡馆之歌,姜秀琼,"永作博美,佐佐木希,樱田日和,臼田麻美,尾形一成",7.6
9310,1298401,特工狂花,雷尼·哈林,"吉娜·戴维斯,塞缪尔·杰克逊,伊芳·齐玛,克雷格·比尔克,汤姆·阿曼德茨",7.1
9311,1788402,乌冬,本广克行,"中山裕介,小西真奈美,松本龟,铃木京香,要润",7.1
9312,3749948,拼贴幸福,鲁弗斯·诺里斯,"蒂姆·罗斯,基里安·墨菲,比尔·米尔纳,罗里·金尼尔,埃洛伊丝·劳伦斯",7.8
9313,2374528,斗茶,王也民,"香川照之,户田惠梨香,周渝民,张钧甯,曾志伟",5.0
9314,3228134,世界旦夕之间,赖纳·维尔纳·法斯宾德,"克劳斯·洛维奇,芭芭拉·瓦伦汀,古特·拉姆普雷切特,尤利·隆美尔,阿德里安·霍芬",8.6
9315,1298428,养蜂人,西奥·安哲罗普洛斯,"马塞洛·马斯楚安尼,塞尔日·雷吉亚尼,瓦西亚·潘戈波卢,纳迪娅·穆鲁齐,Karyofyllia Karabeti",8.3
9316,1293871,欢乐谷,盖瑞·罗斯,"托比·马奎尔,瑞茜·威瑟斯彭,威廉姆·H·梅西,琼·艾伦,杰夫·丹尼尔斯",8.2
9317,3041298,壳中少女：压缩,工藤进,"林原惠美,东地宏树,中井和哉,矶部勉,若本规夫",7.8
9318,6402119,会长是女仆 特别篇,樱井弘明,"藤村步,冈本信彦,五十岚裕美,丰崎爱生,阿澄佳奈",8.0
9319,1482073,同居三人行,"安东尼·罗素,乔·罗素","欧文·威尔逊,凯特·哈德森,马特·狄龙,迈克尔·道格拉斯,塞斯·罗根",6.0
9320,20442984,人狼,金知云,"姜栋元,韩孝周,郑雨盛,金武烈,韩艺璃",5.3
9321,1301148,野蛮入侵,丹尼斯·阿康特,"雷米·吉拉德,斯蒂芬·卢梭,多萝蒂·贝里曼,玛丽-乔西·克罗兹,伊莎贝尔·布莱",7.8
9322,1964510,乔治亚法则,盖瑞·马歇尔,"简·方达,琳赛·洛翰,菲丽西提·霍夫曼,德蒙特·莫罗尼,加内特·赫德兰",6.9
9323,26580909,鬣狗之路,保罗·格罗斯,"保罗·格罗斯,罗西弗·萨瑟兰,克拉克·约翰森,艾伦·霍科,克里斯汀·霍恩",6.5
9324,1307875,公元2000 AD,陈嘉上,"郭富城,吴彦祖,郭妃丽,吴镇宇,连凯",5.4
9325,30459588,蝙蝠侠大战忍者神龟,杰克·卡斯托雷纳,"达伦·克里斯,塔拉·斯特朗,蕾切尔·布鲁姆,汤姆·肯尼,特罗伊·贝克",7.3
9326,3166599,亲爱的,叶念琛,"曾恺玹,安志杰,杨爱瑾,关楚耀,杨秀惠",6.4
9327,26834122,爱，不由自主,行定勋,"松本润,有村架纯,坂口健太郎,大西礼芳,古馆佑太郎",6.0
9328,1298191,傻瓜入狱记,伍迪·艾伦,"伍迪·艾伦,珍妮特·玛戈林,马塞尔·希莱尔,马克·戈登,Ethel Sokolow",7.9
9329,1300287,男歌女唱,邹凯光,"梅艳芳,黄子华,钱嘉乐,许绍雄,田蕊妮",7.1
9330,27087784,恶霸警察,李桢凡,"李善均,全素妮,朴海俊,宋永彰,朴秉恩",6.8
9331,1306581,苏菲的世界,埃里克·古斯达夫逊,"西莉亚·史都斯坦,托马斯·冯·布罗姆森,Andrine Sæther,比约恩·弗洛伯格,汉斯·阿尔弗莱德森",7.7
9332,6959179,一键成名,雷吉斯·罗因萨尔,"罗曼·杜里斯,黛博拉·弗朗索瓦,贝热尼丝·贝乔,肖恩·本森,缪缪",7.4
9333,1307770,爱奴,楚原,"何莉莉,岳华,贝蒂,佟林,万重山",6.7
9334,1461068,群星会,李力持,"秦煌,罗嘉良,李家声,周星驰,楚原",6.8
9335,3750569,爱与黑暗的故事,娜塔莉·波特曼,"娜塔莉·波特曼,马哈姆·胡里,希拉·哈斯,吉拉德·卡哈纳,奈塔·里斯金",7.0
9336,1298455,孟菲斯美女号,迈克尔·卡顿-琼斯,"马修·莫迪恩,埃里克·斯托尔兹,西恩·奥斯汀,莫拉格·席勒,Greg Francis",8.3
9337,25928148,罗密欧与朱丽叶,"Redha,Gilles Amado","达米安·萨格,希西莉亚·卡拉,葛里高利·巴奎特,Tom Ross",9.4
9338,10769694,是我是我,三木聪,"龟梨和也,内田有纪,加濑亮,木村绿子,高桥惠子",6.7
9339,2215964,法内情,黄泰来,"刘德华,叶德娴,李英杰,曾楚霖,成奎安",7.5
9340,10430826,迷失天堂,武玉登,"梁孟海,胡永科,凌山,芳清,罗国雄",7.6
9341,1303373,豪勇七蛟龙,约翰·斯特奇斯,"尤·伯连纳,埃里·瓦拉赫,史蒂夫·麦奎因,查尔斯·布朗森,罗伯特·沃恩",7.5
9342,1482103,摇滚之神,里亚姆·林奇,"杰克·布莱克,凯尔·加斯,本·斯蒂勒,蒂姆·罗宾斯,梅森·奈特",6.8
9343,3018644,我们这一家 剧场版,八角哲夫,"渡边久美子,折笠富美子",8.1
9344,2302386,律政佳人,Savage Steve Holland,"麦莉·罗斯,贝基·罗斯,克里斯托弗·科辛斯,布莱特妮·柯伦,丽莎·贝恩斯",5.9
9345,26635304,灵异空间,涅尔斯·阿登·欧普勒夫,"艾伦·佩吉,迭戈·卢纳,妮娜·杜波夫,詹姆斯·诺顿,科雷西·克莱门斯",5.4
9346,4074220,对学生会长的忠告OVA1,川久保圭史,"鸟海浩辅,杉田智和,岸尾大辅,子安武人",7.4
9347,26834930,海贼王特别篇：黄金之心,长峰达也,"田中真弓,冈村明美,中井和哉,山口胜平,平田广明",7.0
9348,25726658,跟别人睡了,莱丝利·海德兰德,"杰森·苏戴奇斯,爱丽森·布里,亚当·斯科特,阿曼达·皮特,杰森·曼楚克斯",6.7
9349,2059354,时空穿越者,丹尼尔·科恩,"伯努瓦·波尔沃德,娜塔莎·兰丁格尔,米歇尔·迪绍苏瓦,丹尼尔·科恩,帕斯卡尔·艾尔索",6.1
9350,1295834,极度空间,约翰·卡朋特,"罗迪·派彭,凯斯·大卫,梅格·福斯特,乔治·“巴克”·弗劳尔,皮特·杰森",7.4
9351,25894486,欺诈计划,蝶野博,"竹野内丰,松雪泰子,坂口健太郎,黑岛结菜,池田优斗",7.2
9352,1434218,外出就餐,亚伦·布洛卡,"斯科特·朗斯福德,利百加·科汉,莱安·卡勒斯,吉姆·维拉罗斯,克里斯·布莱克",6.7
9353,1428971,决战帝国,克里斯·纳汉,"让·雷诺,劳拉·莫兰特,若塞林·奎夫林,让-米歇尔·蒂尼维力,文森特·格拉斯",6.5
9354,2228823,异种4,尼克·里昂,"Marco Bacuzzi,海伦娜·马特森,亚历杭德拉·戈拉斯,Felipe de Lara,亚当·维利",5.1
9355,1292397,盗信情缘,萨布,"堤真一,远山景织子,大杉涟,平泉成,磨赤儿",8.4
9356,1294103,奥涅金,玛莎·费因斯,"拉尔夫·费因斯,丽芙·泰勒,托比·斯蒂芬斯,琳娜·海蒂,马丁·唐文",8.0
9357,2209022,圈套剧场版1,堤幸彦,"大岛蓉子,三宅弘城,柳原晴郎,石桥莲司,布施绘里",8.1
9358,1294486,人约巴黎,埃里克·侯麦,"克莱拉·贝拉,维罗尼卡·约翰森,贝内迪克特卢瓦扬,米夏埃尔·克拉夫特,瑟奇·伦科",8.0
9359,3233636,瑜伽熊,埃里克·布雷维格,"安娜·法瑞丝,丹·艾克罗伊德,贾斯汀·汀布莱克,汤姆·卡瓦纳夫,T·J·米勒",6.2
9360,26895438,神探狗笨吉,布兰登·坎普,"费尔菲尔德,加布里埃尔·贝特曼,达比·坎普,基拉·桑切斯,格拉伦·布莱恩特·班克斯",6.8
9361,1826749,毛骨悚然,"Jeff Crook,Josh Crook","Will Kauff,Kevin Paskawych,劳伦·科瑞·里维斯,最所美咲",6.4
9362,27104189,敦刻尔克行动,尼克·里昂,"伊弗兰·梅勒蒂斯,金伯利·休斯,迈克尔·沃特斯,凯尔·霍茨,泰勒·科尔",2.9
9363,1307973,如果,林赛·安德森,"马尔科姆·麦克道威尔,大卫·伍德,理查德·沃里克,Michael Newport,安东尼·尼科尔斯",8.1
9364,26778069,老爸当家2,西恩·安德斯,"威尔·法瑞尔,马克·沃尔伯格,梅尔·吉布森,约翰·利思戈,琳达·卡德里尼",6.4
9365,5153883,冲浪英豪,"迈克尔·艾普特,柯蒂斯·汉森","杰拉德·巴特勒,乔尼·维斯顿,伊丽莎白·苏,阿比盖尔·斯宾赛,莱文·兰宾",8.1
9366,1931425,单车上路,李志蔷,"李国毅,李运庆,陈意涵,张榕容,温升豪",6.4
9367,1433567,莫迪里阿尼,米克·戴维斯,"安迪·加西亚,艾尔莎·泽贝斯坦,欧米德·吉亚李利,伊波利特·吉拉尔多,伊娃·赫兹格瓦",7.9
9368,1441189,飞行器里的好小伙，或我是怎样花25小时11分从伦敦飞到巴黎,肯·安纳金,"斯图尔特·惠特曼,莎拉·米尔斯,詹姆斯·福克斯,阿尔贝托·索尔迪,罗伯特·莫利",8.4
9369,11528256,瓦嘉达,海法·曼苏尔,"瓦德·穆罕默德,莉姆·阿卜杜拉,阿卜杜拉曼·勾汉尼,阿德,苏丹·阿萨夫",8.3
9370,25862279,姐妹,杰森·摩尔,"蒂娜·菲,艾米·波勒,玛娅·鲁道夫,伊克·巴里霍尔兹,詹姆斯·布洛林",5.8
9371,3011044,蔓延,大卫·马肯兹,"阿什顿·库彻,安·海切,塞巴斯蒂安·斯坦,玛格丽塔·列维耶娃,索尼娅·洛克威尔",6.4
9372,1307115,楚留香,楚原,"狄龙,岳华,苗可秀,凌云,李菁",7.7
9373,25782827,半熟少女,刘鼎业,"王栎鑫,赵正平,刘真,汤敏,赵嘉敏",6.2
9374,1440852,家族荣誉2：家门的危机,郑勇基,"申贤俊,林炯俊,金秀美,卓在勋,郑俊镐",6.7
9375,25836152,去见瀑布,冲田修一,"根岸遙子,安澤千草,荻野百合子,桐原三枝,川田久美子",7.4
9376,1293624,本能反应,乔·德特杜巴,"安东尼·霍普金斯,小库珀·古丁,唐纳德·萨瑟兰,David St. Pierre,罗斯·布莱克维尔",8.0
9377,5377120,伏：铁炮娘的捕物帐,宫地昌幸,"寿美菜子,宫野真守,宫本佳那子,小西克幸,坂本真绫",7.6
9378,1778993,米尼,"金琛,陈苗","刘烨,李心洁,张耀扬",6.0
9379,3138605,亲爱的医生,西川美和,"笑福亭鹤瓶,永山瑛太,八千草薰,香川照之,余贵美子",7.9
9380,30258072,为美好的世界献上祝福！红传说,金崎贵臣,"福岛润,雨宫天,高桥李依,茅野爱衣,丰崎爱生",8.7
9381,1299027,凶线,布莱恩·德·帕尔玛,"约翰·特拉沃尔塔,南茜·艾伦,约翰·利思戈,丹尼斯·弗兰茨,约翰·麦克马丁",7.7
9382,26411217,追捕聂鲁达,帕布罗·拉拉因,"盖尔·加西亚·贝纳尔,路易斯·尼科,梅赛黛斯·莫朗,埃米利奥·古铁雷斯·卡巴,迭戈·穆尼奥斯",7.3
9383,1297692,金钱本色,马丁·斯科塞斯,"保罗·纽曼,汤姆·克鲁斯,玛丽·伊丽莎白·马斯特兰托尼奥,海伦·谢费,约翰·特托罗",7.3
9384,10741865,丧家之女,亨利·霍伯森,"阿诺·施瓦辛格,阿比盖尔·布雷斯林,乔莉·理查德森,劳拉·凯洛蒂,J·D·埃弗摩尔",5.7
9385,34875588,真人快打传奇：蝎子的复仇,伊桑·斯波尔丁,"詹妮弗·卡朋特,乔尔·麦克哈尔,凯文·迈克尔·理查德森",7.3
9386,1945799,眼前的生活,瓦迪姆·佩尔曼,"乌玛·瑟曼,埃文·蕾切尔·伍德,伊娃·阿穆里,Alexander Fagan,Gabrielle Brennan",7.2
9387,20451336,再爱一次好不好,征长张,"贺刚,刘冬,赵露,刘韦伯,吴永伦",3.5
9388,1300548,重返荣耀,罗伯特·雷德福,"威尔·史密斯,马特·达蒙,查理兹·塞隆,布鲁斯·麦克吉尔,乔·格拉什",7.5
9389,1439177,大提琴,李宇哲,"成贤娥,Jin Woo,王光娜,郑孝彬",6.2
9390,1303657,五岁庵,成白烨,,7.9
9391,1302939,风尘三侠,"李志毅,陈可辛","梁家辉,梁朝伟,郑丹瑞,周文健,柏安妮",7.2
9392,1293476,一路响叮当,布莱恩·莱温特,"阿诺·施瓦辛格,Sinbad,菲尔·哈特曼,丽塔·威尔逊,罗伯特·康瑞德",6.9
9393,1295368,飞天巨桃历险记,亨利·塞利克,"西蒙·卡洛,简·丽芙丝,乔安娜·林莉,米瑞安·玛格莱斯,皮特·波斯尔思韦特",7.6
9394,27611496,神之一手：鬼手篇,李凎,"权相宇,金熙元,金成钧,许成泰,禹棹焕",6.9
9395,3765257,弃宝之岛：遥与魔法镜,佐藤信介,"绫濑遥,户田菜穗,大森南朋,谷村美月,家弓家正",7.8
9396,2334685,初来乍到,乔纳斯·埃莫,"蕾妮·齐薇格,小哈里·康尼克,希芳·法隆,J·K·西蒙斯,弗兰西丝·康罗伊",6.2
9397,1299360,我出生了，但……,小津安二郎,"斋藤达雄,青木富夫,菅原秀雄,坂本武,笠智众",8.9
9398,1301056,神鬼愿望,哈罗德·雷米斯,"布兰登·费舍,伊丽莎白·赫利,弗兰西丝·奥康纳,米利亚姆·肖尔,加布里埃尔·卡塞斯",6.7
9399,21349301,小混乱,艾伦·瑞克曼,"凯特·温丝莱特,海伦·麦克洛瑞,斯坦利·图齐,艾伦·瑞克曼,詹妮弗·艾莉",6.6
9400,1854542,热血教师,兰达·海恩斯,"马修·派瑞,埃涅·赫德森,Chris Enright,布兰登·史密斯,汉娜·霍德森",7.9
9401,1401538,X战记 剧场版,林太郎,"关智一,岩男润子,成田剑,山寺宏一,筱原惠美",7.5
9402,1872253,我会好起来,菲利普·里奥雷,"凯德·麦拉德,梅拉尼·罗兰,伊莎贝拉·雷纳德,朱利安·波义塞利尔,Pierre-Benoist Varoclier",8.0
9403,3126186,悲恋三人行,由拉特·史帕克,"亚瑞克·阿莫苏帕西瑞,帕塔拉萨亚·克鲁阿苏旺斯里,拉查雯·万薇瑞亚",6.7
9404,2081739,萨维奇一家,塔玛拉·詹金斯,"劳拉·琳妮,菲利普·塞默·霍夫曼,菲利普·博斯科,迈克尔·布莱克森,佐伊·卡赞",7.7
